px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.46016	0.246045	-0.00157529	0.031777	0.00251273	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.46439	0.244816	0.000177212	0.0295846	0.00057954	8.56759	0.241943	8.45	0.25	0	0	0
8.46289	0.246731	-0.000823972	0.0318543	0.00228351	8.45582	0.253997	8.45	0.25	0	0	0
8.38954	0.236438	-0.51146	0.02156	-0.00779536	8.42544	0.254042	8.35	0.25	-1.81979	0	0
8.34282	0.238907	-0.534616	0.028596	-0.00242906	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.1528	0.223136	-1.5811	0.0103193	-0.0176003	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0
8.03905	0.216727	-1.63217	0.0120598	-0.014677	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.86598	0.210756	-2.16328	0.00724323	-0.0165688	7.61269	0.155818	7.7	0.15	-2.99982	0	0
7.72535	0.205403	-2.21343	0.0135637	-0.0101175	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.61603	0.199861	-2.11965	0.0192822	-0.00370028	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0
7.47458	0.179223	-2.15805	0.0499192	0.0256452	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.3141	0.163704	-2.39322	0.062111	0.0367895	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0
7.162	0.115761	-2.42773	0.128382	0.0905544	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
7.05886	0.0552514	-2.2048	0.207123	0.148767	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0
6.92589	-0.0442107	-2.24491	0.315481	0.226013	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.81698	-0.123695	-2.25217	0.38332	0.268586	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0
6.70181	-0.245972	-2.31261	0.487713	0.335149	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.65896	-0.395562	-2.04496	0.641062	0.445653	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0
6.57443	-0.507041	-2.09469	0.711932	0.479938	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.53302	-0.674711	-1.92408	0.863283	0.589231	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0
6.46192	-0.828776	-2.02266	0.955875	0.630619	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.37813	-0.933829	-2.1359	0.977989	0.606639	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0
6.30166	-1.08476	-2.23967	1.04248	0.627051	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.35122	-1.35767	-2.09545	1.32874	0.919374	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0
6.3291	-1.51296	-2.17731	1.40304	0.935192	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.29448	-1.60804	-2.16545	1.41169	0.875649	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0
6.26972	-1.76706	-2.28701	1.46762	0.879314	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.29714	-1.98587	-2.53909	1.61686	1.02723	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0
6.30985	-2.13818	-2.59541	1.67512	1.02976	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
6.31086	-2.26545	-2.52338	1.70193	0.980888	6.32593	-2.40018	6.35	-2.4	0	-2.72613	0
6.33124	-2.43384	-2.59501	1.75501	0.975124	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
6.37405	-2.61079	-2.73431	1.82857	1.0074	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0
6.41605	-2.77351	-2.7753	1.88151	1.00232	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
6.4375	-2.88416	-2.63118	1.90315	0.95391	6.46536	-3.00452	6.45	-3	0	-2.99754	0
6.47006	-3.03998	-2.69772	1.93452	0.933904	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
6.52633	-3.20024	-2.77596	1.98345	0.934444	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0
6.5769	-3.367	-2.82888	2.01698	0.91408	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
6.65738	-3.53297	-2.96467	2.07192	0.927104	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0
6.73916	-3.6916	-2.99727	2.11685	0.919189	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
6.80645	-3.81618	-2.84915	2.15251	0.893627	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	0
6.88239	-3.9737	-2.88996	2.18252	0.872383	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
6.94943	-4.09174	-2.74898	2.21396	0.848118	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0
7.0153	-4.2478	-2.78765	2.22888	0.81447	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0
7.06536	-4.33534	-2.46272	2.25347	0.780692	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	0
7.12447	-4.47061	-2.48658	2.26579	0.748848	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0
7.19791	-4.57858	-2.43976	2.2948	0.734554	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0
7.2516	-4.72732	-2.47481	2.29023	0.687531	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0
7.36237	-4.87421	-2.72029	2.31911	0.683414	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	0
7.4247	-5.03047	-2.74414	2.30912	0.633865	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0
7.50063	-5.14295	-2.65693	2.32621	0.613398	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0
7.55964	-5.30528	-2.68692	2.30632	0.557144	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.64981	-5.42524	-2.66759	2.32427	0.542897	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0
7.72124	-5.56976	-2.68552	2.3168	0.503948	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.79775	-5.67727	-2.60171	2.32955	0.487063	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0
7.85276	-5.83172	-2.61908	2.30423	0.43309	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.97594	-5.97695	-2.96791	2.32371	0.437297	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	0
8.04328	-6.13001	-2.98712	2.30198	0.391947	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.13348	-6.24927	-2.86164	2.31088	0.375835	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0
8.21686	-6.3919	-2.87086	2.30436	0.347598	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.29559	-6.50112	-2.75434	2.31079	0.332815	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0
8.35732	-6.65602	-2.76526	2.28438	0.28672	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.44542	-6.77344	-2.7561	2.29198	0.278372	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0
8.51853	-6.91124	-2.75854	2.27996	0.250396	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.59057	-7.01291	-2.70189	2.28324	0.240186	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0
8.64222	-7.155	-2.71404	2.25493	0.198903	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.75609	-7.29542	-2.97675	2.26671	0.205639	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0
8.81756	-7.44922	-2.99236	2.23844	0.165972	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.87666	-7.55623	-2.70657	2.22838	0.139907	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0
8.9346	-7.70216	-2.71114	2.20409	0.107075	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
9.01458	-7.82207	-2.76546	2.20523	0.103915	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0
9.05914	-7.96797	-2.77559	2.1731	0.065667	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.0961	-8.06356	-2.49258	2.15594	0.0378318	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0
9.14193	-8.20122	-2.49766	2.13017	0.00948714	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.22228	-8.32962	-2.63845	2.13218	0.0143325	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0
9.25454	-8.47576	-2.6538	2.09505	-0.0240674	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.29583	-8.58571	-2.45961	2.07527	-0.048776	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0
9.33057	-8.72718	-2.46847	2.0442	-0.0774306	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.46837	-8.91616	-3.11929	2.08145	-0.0154562	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0
9.51507	-9.08283	-3.14216	2.0497	-0.0468712	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.54825	-9.19958	-2.90514	2.02215	-0.0819334	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	0
9.5933	-9.34054	-2.90854	2.0031	-0.0971369	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.62598	-9.45575	-2.76176	1.98156	-0.119664	9.47534	-9.42627	9.55	-9.5	0	-3.00023	0
9.64456	-9.60811	-2.77856	1.94368	-0.151982	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.70779	-9.75468	-2.88469	1.94283	-0.140855	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0
9.72963	-9.90814	-2.89756	1.91045	-0.166453	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.74538	-10.0322	-2.68828	1.87671	-0.201063	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	0
9.77919	-10.169	-2.6772	1.86108	-0.205642	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.82033	-10.3042	-2.68612	1.85052	-0.206245	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0
9.82949	-10.45	-2.70195	1.81784	-0.228669	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.8706	-10.6015	-2.78357	1.81256	-0.216388	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0
9.89234	-10.7549	-2.78657	1.79046	-0.226584	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.90286	-10.887	-2.64124	1.75911	-0.25397	9.88465	-10.9383	9.85	-10.9	0	-2.73074	0
9.9049	-11.0393	-2.65091	1.7271	-0.271991	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.92377	-11.1727	-2.67161	1.71398	-0.270125	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0
9.91486	-11.3223	-2.69585	1.67865	-0.291911	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.92944	-11.4635	-2.72504	1.66502	-0.289394	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0
