px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0205723	-0.00621954	0.0143528	-0.0105254	-0.00956852	0	0	0	0	0	0	0
1.51936	-0.0479428	2.97043	-0.0667313	-0.0307393	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.48303	0.0174271	2.85517	0.00772542	-0.0359088	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.88951	-0.132855	2.96217	-0.10565	-0.0857243	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.94975	0.0728705	2.59638	0.0259967	-0.00960935	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.84987	0.411542	3.63985	0.248666	0.143074	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.75324	0.440933	2.82698	0.326084	0.245425	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.07414	0.601667	2.72328	0.0126934	-0.115181	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.03859	0.668715	2.69157	0.0548142	-0.0885239	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5695	1.65554	3.18841	0.61239	0.32489	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5411	1.62158	3.00051	0.614614	0.349877	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.5918	2.32423	2.17072	0.336257	-0.0533581	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.6214	2.30455	2.58059	0.282876	-0.118285	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.6267	2.90272	3.95422	0.0118916	-0.21454	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.5443	2.88248	3.1545	-0.0323484	-0.294084	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
19.0109	3.69587	2.94555	0.373915	0.149621	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0775	3.71889	2.77091	0.427842	0.201051	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3257	4.73299	3.1002	0.432881	0.0744559	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3795	4.74246	3.07321	0.421576	0.0754653	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0694	5.57058	3.61778	0.188235	-0.120856	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1643	5.59803	3.38371	0.155932	-0.149758	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
26.6078	6.95289	3.26222	0.628629	0.246467	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.5943	6.9473	3.33846	0.61622	0.230076	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
29.5738	8.08944	3.8258	0.242435	-0.163057	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5471	8.07547	3.35133	0.226041	-0.186114	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
31.9441	9.86946	3.32492	0.83243	0.320897	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.8992	9.84737	3.34701	0.81332	0.298631	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
34.608	10.7114	2.52145	0.1821	-0.308203	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.7146	10.7646	3.07121	0.172955	-0.283073	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
37.1398	12.0776	3.17274	0.616233	0.179479	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.2168	12.1035	3.33111	0.619242	0.17598	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
40.3133	13.4652	4.19706	0.266057	-0.169079	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2308	13.4289	3.36941	0.214037	-0.23393	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
42.7678	14.8208	3.36029	0.595826	0.16305	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.7428	14.8144	3.37579	0.58938	0.155894	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0
45.349	16.5501	3.95122	0.568434	0.040184	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.3841	16.5611	3.51433	0.592383	0.117508	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0
48.1505	17.2895	3.3218	0.138439	-0.246536	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1231	17.2788	3.05086	0.115736	-0.281755	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0
50.6199	19.0562	3.1801	0.884701	0.395949	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.5998	19.0406	3.34275	0.825767	0.317998	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0
